SeriesCode,TimePeriod,DataValue
A065RC,2019,1.8424386e7
A033RC,2019,1.1447707e7
A034RC,2019,9.323541e6
A132RC,2019,7.873296e6
B202RC,2019,1.450246e6
A038RC,2019,2.124166e6
B040RC,2019,1.474563e6
B039RC,2019,649603.0
A041RC,2019,1.598898e6
B042RC,2019,38435.0
A045RC,2019,1.560463e6
A048RC,2019,692099.0
W210RC,2019,2.968007e6
A064RC,2019,1.652035e6
B703RC,2019,1.315972e6
A577RC,2019,3.139096e6
A063RC,2019,3.083131e6
W823RC,2019,1.030743e6
W824RC,2019,785703.0
W729RC,2019,614030.0
W825RC,2019,27590.0
W826RC,2019,130899.0
W827RC,2019,494167.0
B931RC,2019,55965.0
A061RC,2019,1.421421e6
W055RC,2019,2.205125e6
A067RC,2019,1.6219261e7
A068RC,2019,1.4981469e7
DPCERC,2019,1.4428676e7
B069RC,2019,340361.0
W211RC,2019,212432.0
W062RC,2019,118559.0
B070RC,2019,93872.0
A071RC,2019,1.237792e6
A072RC,2019,7.6
W875RX,2019,1.3905579e7
A067RX,2019,1.4755246e7
A229RC,2019,49370.0
A229RX,2019,44913.0
B230RC,2019,328527.0
A067RP,2019,3.8
A067RL,2019,2.3
